garment_type,name,description,duration_min,base_price
blusa,Ajuste de mangas,Modificación del ancho de las mangas,30,75.0
blusa,Ajuste de hombro,Modificación de la caída del hombro,60,100.0
blusa,Dobladillo de ruedo a máquina,Ajuste de largo cosido a máquina,15,85.0
blusa,Dobladillo de ruedo a mano,Ajuste de largo cosido a mano para un acabado invisible,30,100.0
blusa,Ajuste de manga con puño,Ajuste integral de manga y puño,45,100.0
blusa,Ajuste de costados con manga dobladillo y puño,Ajuste completo de laterales mangas largo y puños,90,190.0
blusa,Ajuste de costado con dobladillo,Ajuste lateral y de largo,45,145.0
blusa,Ajuste de hombro con costado y puño,Ajuste de hombros laterales y puños,90,195.0
blusa,Parchar con cuchilla,Aplicación de parche insertando cuchilla de tela,30,40.0
blusa,Parche con costura,Aplicación de parche sencillo cosido,20,35.0
blusa,Cortar mangas,Reducción del largo de mangas,20,85.0
blusa,Colocar broches de presión,Instalación de broche de presión,5,15.0
blusa,Colocar broche de gancho,Instalación de broche tipo gancho,5,15.0
blusa,Retirar o poner resorte,Cambio o instalación de banda elástica,30,100.0
blusa,Dobladillo a mano forrado o a máquina,Dobladillo en blusa con forro,45,135.0
blusa,Cambio de forro,Reemplazo del forro interior,90,165.0
blusa,Voltear cuello,Rotación del cuello para ocultar desgaste,30,50.0
blusa,Recortar cuello,Reducción del tamaño del cuello,30,50.0
blusa,Transformar puños,Modificación de estilo o tamaño de los puños,45,100.0
blusa,Colocar boton,Instalación de botón,5,10.0
blusa,Subir hombros,Ajuste para subir la costura de los hombros,45,100.0
blusa,Subir hombros y puños,Ajuste combinado de hombros y puños,60,170.0
blusa,Subir hombros puños y faldilla,Ajuste completo de hombros puños y faldilla,90,180.0
blusa,Subir puños,Ajuste de posición de los puños,30,100.0
falda,Ajuste de cintura,Reducción o ampliación de la cintura,30,90.0
falda,Ajuste de costado,Ajuste en los laterales de la falda,30,90.0
falda,Ajuste de cintura con costado,Ajuste combinado de cintura y laterales,60,175.0
falda,Dobladillo a mano sin forro,Ajuste de largo cosido a mano para un acabado invisible en falda sin forro,30,100.0
falda,Dobladillo a máquina sin forro,Ajuste de largo cosido a máquina en falda sin forro,15,85.0
falda,Dobladillo a máquina con forro,Ajuste de largo cosido a máquina en falda con forro,30,120.0
falda,Dobladillo a mano con forro,Ajuste de largo cosido a mano en falda con forro,45,135.0
falda,Cambio de cierre de Nylon o invisible,Reemplazo de cremallera de nylon o invisible,45,90.0
falda,Cambio de cierre de metal,Reemplazo de cremallera metálica,45,90.0
falda,Aumentar pretina,Adición de tela o ajuste para agrandar la pretina,45,135.0
falda,Parchar,Aplicación de un parche en zona dañada,20,40.0
falda,Colocar broches,Instalación de broches,10,20.0
falda,Hacer cuchillas (Sobre Costura),Inserción de cuchillas de tela sobre la costura para dar amplitud,60,145.0
falda,Resorte en cintura,Instalación de banda elástica en la cintura,30,90.0
falda,Cambiar resorte,Reemplazo de banda elástica en la cintura,30,100.0
camisa,Ajuste de costados,Ajuste en los laterales de la camisa,30,75.0
camisa,Ajuste de costado con mangas,Ajuste lateral y de ancho de mangas,45,145.0
camisa,Ajuste de costado con mangas y subir puño,Ajuste lateral mangas y posición de puños,60,175.0
camisa,Ajuste de costado con mangas puño y dobladillo a maquina,Ajuste completo lateral mangas puños y largo,90,270.0
camisa,Cambio de cuello,Reemplazo del cuello de la camisa,45,50.0
camisa,Cambio de cuello con pie de cuello y ojal,Reemplazo de cuello incluyendo pie y ojal,60,70.0
camisa,Parchar,Aplicación de un parche en zona dañada,20,40.0
camisa,Hacer cuchilla,Inserción de cuchilla de tela para ampliar,60,180.0
camisa,Hacer bolsa,Confección y aplicación de un bolsillo,45,95.0
camisa,Cortar manga,Reducción del largo de las mangas,20,75.0
camisa,Subir de puño,Ajuste de posición de los puños,30,130.0
camisa,Poner botón,Instalación de botón,5,15.0
camisa,Colocar ojal en cuello,Creación de ojal en el cuello,15,30.0
camisa,Poner escudos,Aplicación de escudo o parche bordado,10,15.0
camisa,Poner sectores,Aplicación de sector o insignia,10,15.0
camisa,Dobladillo a maquina y subir puño,Ajuste de largo a máquina y posición de puños,45,145.0
camisa,Dobladillo a maquina faldilla,Ajuste de largo de faldilla a máquina,20,85.0
camisa,Voltear cuellos,Rotación del cuello para ocultar desgaste,30,50.0
camisa,Cuchillas con tela de canesú,Inserción de cuchillas usando tela del canesú,60,175.0
camisa,Subir hombros,Ajuste para subir la costura de los hombros,45,110.0
camisa,Subir hombros y puños,Ajuste combinado de hombros y puños,60,195.0
sueter,Ajuste de costados,Ajuste en los laterales del suéter,30,80.0
sueter,Ajuste de mangas,Ajuste del ancho de las mangas,30,75.0
sueter,Ajuste de costado con mangas,Ajuste combinado de laterales y mangas,45,145.0
sueter,Dobladillo de mangas,Ajuste del largo de las mangas,20,75.0
sueter,Dobladillo de ruedo,Ajuste del largo total del suéter,30,90.0
sueter,Poner parche en codos,Aplicación de parches en la zona de los codos,30,130.0
sueter,Zurcir hilos zafados,Reparación de hilos sueltos o rotos,20,40.0
sueter,Poner cierre en mangas,Instalación de cierres en las mangas,45,120.0
sueter,Cambio de cierre de metal,Reemplazo de cremallera metálica,45,150.0
sueter,Cambio de cierre de plástico,Reemplazo de cremallera de plástico,45,120.0
sueter,Poner botón,Instalación de botón,5,10.0
sueter,Poner franjas,Aplicación de franja decorativa,15,35.0
sueter,Poner escudos,Aplicación de escudo o parche bordado,10,15.0
sueter,Poner escudos con franjas,Aplicación combinada de escudo y franjas,20,45.0
sueter,Poner dos franjas,Aplicación de dos franjas decorativas,20,45.0
sueter,Poner tres franjas,Aplicación de tres franjas decorativas,30,60.0
sueter,Ajustar puños,Ajuste del ancho o elástico de los puños,20,50.0
sueter,Subir hombros,Ajuste para subir la costura de los hombros,45,90.0
sueter,Subir hombros y puños,Ajuste combinado de hombros y posición de puños,60,135.0
saco,Ajuste de costados,Ajuste en los laterales del saco,45,170.0
saco,Ajuste de mangas,Ajuste del ancho de las mangas,30,85.0
saco,Subir puños,Ajuste de posición de los puños,45,120.0
saco,Ajuste de centro,Ajuste en la costura central de la espalda,45,120.0
saco,Ajuste de hombro,Modificación de la caída del hombro,60,145.0
saco,Ajuste de costado con mangas,Ajuste combinado de laterales y mangas,60,200.0
saco,Ajuste de costado con mangas y ruedo,Ajuste lateral mangas y largo del saco,90,250.0
saco,Ajuste de costado con mangas ruedo y centro con hombros,Ajuste completo de saco,120,350.0
saco,Parche con cuchilla,Aplicación de parche insertando cuchilla,30,40.0
saco,Subir hombros y puños,Ajuste combinado de hombros y posición de puños,90,190.0
saco,Cambio de forro completo,Reemplazo total del forro interior del saco,180,450.0
saco,Cambio de forro de alguna pieza,Reemplazo parcial del forro,60,100.0
saco,Poner botones x pieza,Instalación de un botón,5,15.0
saco,Cambio de botones,Reemplazo de todos los botones del saco,30,130.0
saco,Ajuste de solapa,Modificación de la forma o tamaño de la solapa,60,125.0
saco,Subir largo faldilla,Ajuste del largo de la faldilla del saco,60,145.0
saco,Aflojar contornos,Ampliación de los contornos del saco,90,190.0
vestido,Ajuste de costados,Ajuste en los laterales del vestido,30,90.0
vestido,Ajuste de costados forrado,Ajuste en los laterales del vestido con forro,45,120.0
vestido,Ajuste de mangas,Modificación del ancho de las mangas,30,90.0
vestido,Ajuste de hombros,Ajuste en la costura de los hombros,45,100.0
vestido,Dobladillo a mano sin forro,Ajuste de largo cosido a mano para vestido sin forro,45,135.0
vestido,Dobladillo a máquina sin forro,Ajuste de largo cosido a máquina para vestido sin forro,20,110.0
vestido,Dobladillo a mano con forro,Ajuste de largo cosido a mano para vestido con forro,60,175.0
vestido,Dobladillo a máquina con forro,Ajuste de largo cosido a máquina para vestido con forro,30,135.0
vestido,Ajuste de costados con mangas,Ajuste combinado de laterales y mangas,60,190.0
vestido,Ajuste de costados con mangas y dobladillo,Ajuste de laterales mangas y largo,90,240.0
vestido,Ajuste de costados con mangas dobladillo y cambio de cierre,Ajuste completo con cambio de cierre,120,295.0
vestido,Ajuste de costados con mangas dobladillo y subir puños,Ajuste completo y posición de puños,105,285.0
vestido,Cambio de cierre,Reemplazo de cremallera del vestido,45,100.0
vestido,Poner botón,Instalación de un botón,5,15.0
vestido,Poner botones,Instalación de múltiples botones,30,75.0
vestido,Poner broche,Instalación de un broche,10,15.0
vestido,Hacer pinzas,Creación de pinzas para ajustar la silueta,30,60.0
vestido,Cambio de forro,Reemplazo completo del forro interior,180,380.0
vestido,Poner medio forro,Instalación parcial de forro interior,90,175.0
vestido,Cortar vestido en dos piezas,Transformación de vestido a conjunto de dos piezas,60,190.0
vestido,Dobladillo a máquina con piezas extras,Ajuste de largo con aplicaciones decorativas,45,120.0
vestido,Poner pedrería,Aplicación de pedrería decorativa,60,120.0
vestido,Reforzar broches,Costura de refuerzo en broches existentes,15,45.0
vestido,Reforzar botones,Costura de refuerzo en botones existentes,20,70.0
cojín,Coser cojín,Costura general para cierre o reparación de cojín,30,30.0
cojín,Poner cierre a cojín,Instalación de cierre en cojín,30,90.0
bolsa,Poner cierre a bolsa,Instalación de cierre en bolsa o bolso,30,90.0
sábanas,Recoser sabanas,Reparación de costuras o rasgaduras en sábanas,20,50.0
toalla,Recoser toallas en orillas,Reparación de las orillas deshilachadas de toallas,15,45.0
bolsa,Cambio de cierre en bolsas,Reemplazo de la cremallera en bolsa o bolso,45,95.0
peluche,Recoser muñeco de peluche,Reparación de costuras o relleno en peluche,20,40.0
tapete,Pasar over a tapete,Costura de overlock en las orillas del tapete,30,70.0
faja,Aumentar tela a faja,Ampliación de faja añadiendo tela,45,100.0
faja,Cambio de cierre a faja,Reemplazo de cremallera en faja,45,130.0
faja,Repasar costura a faja,Refuerzo de las costuras existentes en la faja,15,35.0
cobija,Dobladillar cobijas,Ajuste de bordes y creación de dobladillo en cobijas,45,120.0
calcetines,Recoser calcetines,Reparación de agujeros o costuras en calcetines,15,25.0
ropa interior,Recoser Boxer de elástico,Ajuste o reparación del resorte en ropa interior,15,25.0
corbata,Cortar corbatas de largo,Reducción del largo de la corbata,30,90.0
cortina,Dobladillo de cortinas,Ajuste del largo de las cortinas,45,100.0
mantel,Dobladillo mantel a maquina,Costura de bordes a máquina para mantel,45,120.0
mantel,Poner bies a mantel,Aplicación de cinta bies decorativa en el contorno,60,100.0
toalla,Poner bies en toalla grande o chica,Aplicación de cinta bies en el contorno de la toalla,45,100.0
varios,Botón,Instalación o reemplazo de un botón suelto,5,10.0
varios,Ojal,Confección o reparación de ojal para botón,15,10.0
corbata,Reducir ancho corbata,Modificación lateral para adelgazar la corbata,45,90.0
chamarra,Ajustes de costados,Ajuste en los laterales de la chamarra,45,90.0
chamarra,Ajuste de costados con mangas,Ajuste lateral y de ancho de mangas,60,150.0
chamarra,Ajustes de costados con mangas y puños,Ajuste lateral mangas y ajuste de puños,90,190.0
chamarra,Ajustes de puños por hombro,Ajuste de posición de puños modificando desde el hombro,60,145.0
chamarra,Cambio de cierre de metal,Reemplazo de cremallera metálica principal,60,180.0
chamarra,Cortar dobladillo,Ajuste y reducción del largo de la chamarra,45,90.0
chamarra,Quitar gorra,Remoción de la capucha y cerrado de costura,45,120.0
chamarra,Cambio de elástico de puños,Reemplazo de la banda elástica en los puños,30,100.0
chamarra,Cambio de elástico de ruedo,Reemplazo de la banda elástica en el borde inferior,45,130.0
chamarra,Cambio de elástico de ruedo y puños,Reemplazo de bandas elásticas inferior y en puños,60,190.0
chamarra,Cambio de cuello,Reemplazo o reparación del cuello,45,70.0
chamarra,Poner coderas,Aplicación de parches protectores en los codos,30,120.0
chamarra,Recoser bolsas,Reparación de costuras sueltas o rotas en los bolsillos,20,50.0
chamarra,Poner bolsas nuevas,Confección e instalación de bolsillos nuevos,60,170.0
chamarra,Quitar mangas y colocar vistas,Retiro de mangas para convertir en chaleco y detallado de sisas,90,100.0
chamarra,Recoser de roto en varios lados,Reparación general de desgarres o roturas en múltiples áreas,45,60.0
chamarra,Cambio de cierre de bolsas,Reemplazo de cremalleras en los bolsillos,45,100.0
chamarra,Poner broches,Instalación de broches a presión,10,10.0
chamarra,Poner cierres con broches de presión,Instalación de cremallera combinada con botones a presión,90,100.0
chamarra,Cierre de naylon,Reemplazo de cremallera principal de nylon,45,120.0
chamarra,Cambio de cierre nylon,Reemplazo de cremallera principal de nylon,45,120.0
chamarra,Cambio de cierre nylon especial,Reemplazo de cremallera de nylon de características especiales,60,175.0
abrigo,Ajustes de costados,Ajuste en los laterales del abrigo,45,120.0
abrigo,Ajuste de costados con mangas,Ajuste combinado de laterales y mangas,60,180.0
abrigo,Ajustes de costados con mangas y ruedo,Ajuste lateral mangas y largo,90,220.0
abrigo,Ajustes de costados con mangas ruedo y subir hombros,Ajuste completo de abrigo,120,285.0
abrigo,Dobladillo a maquina,Ajuste de largo cosido a máquina,30,120.0
abrigo,Dobladillo de puños,Ajuste de largo en los puños,30,145.0
abrigo,Subir hombros,Ajuste para subir la costura de los hombros,45,145.0
abrigo,Subir hombros y puños,Ajuste combinado de hombros y posición de puños,60,185.0
licras,Recoser tiro,Reparación de costura en el tiro,15,30.0
licras,Recoser tiro y piernas,Reparación de costuras en tiro y piernas,30,50.0
licras,Recoser piernas,Reparación de costura en las piernas,20,45.0
licras,Cortar ruedo y dobladillo a maquina,Reducción de largo y dobladillo a máquina,30,80.0
licras,Poner elástico,Instalación o reemplazo de banda elástica,30,90.0
licras,Ajustar contornos piernas,Ajuste para ceñir las piernas,45,100.0
licras,Ajustar cintura,Ajuste para reducir la cintura,30,80.0
licras,Ajustar entrepiernas,Ajuste de la zona de entrepierna,30,80.0
playera,Ajustes de costados,Ajuste en los laterales de la playera,30,75.0
playera,Ajuste de costados con dobladillo,Ajuste lateral y de largo,45,135.0
playera,Dobladillo a maquina,Ajuste de largo cosido a máquina,15,85.0
playera,Dobladillo a maquina con aberturas,Ajuste de largo con acabado de aberturas laterales,30,110.0
playera,Ajustes de costados con abertura,Ajuste lateral manteniendo o creando abertura,45,95.0
playera,Ajustes de costados con abertura y bies,Ajuste lateral con acabado de bies en aberturas,60,135.0
playera,Ajustes de costados con mangas,Ajuste combinado de laterales y mangas,60,145.0
playera,Ajuste de costados con dobladillo y mangas,Ajuste completo de laterales largo y mangas,75,175.0
playera,Subir tirantes,Ajuste para acortar tirantes,15,70.0
playera,Ajuste de hombros,Ajuste en la costura superior de los hombros,30,75.0
playera,Colocar parche,Aplicación de un parche en zona dañada,15,35.0
playera,Colocar parches,Aplicación de múltiples parches,30,45.0
pans,Dobladillo a maquina,Ajuste de largo cosido a máquina,15,80.0
pans,Poner cierre en bolsas,Instalación de cierre en bolsillos del pantalón,30,110.0
pans,Hacer dobladillo a máquina con cierre,Ajuste de largo con acabado de cierre en los bajos,45,120.0
pans,Cambio de cierre en dobladillo,Reemplazo de la cremallera ubicada en el dobladillo,30,130.0
pans,Recoser costados,Reparación de costuras laterales sueltas,20,35.0
pans,Recoser tiro,Reparación de costura en la zona del tiro,15,35.0
pans,Recoser tiro con costado,Reparación combinada de costuras en tiro y laterales,30,50.0
pans,Poner parches,Aplicación de parches en zonas desgastadas o rotas,30,40.0
pans,Cambio de elástico de ruedo,Reemplazo de la banda elástica en los puños o bajo,30,110.0
pans,Recoser rotos en varios lados,Reparación general de múltiples desgarres,45,75.0
pans,Cambio de cierre de bolsas,Reemplazo de cremalleras en bolsillos,45,120.0
pans,Poner broches,Instalación de botones de presión o broches,10,40.0
pans,Poner cierres con broches de presión,Instalación de cierre y refuerzo con broches,60,100.0
pans,Ajustar piernas,Reducción del ancho de las piernas,45,90.0
pans,Ajustar piernas con entrepiernas,Ajuste de ancho incluyendo la costura de entrepierna,60,110.0
pans,Colocar resorte en dobladillo,Instalación de banda elástica en el borde inferior,30,120.0
pans,Colocar resorte al centro,Instalación de banda elástica en la cintura,30,90.0
pans,Línea en costados,Aplicación de franja decorativa o refuerzo lateral,45,130.0
pans,Cambiar bolsas,Reemplazo de los fondos de los bolsillos,60,170.0
short,Ajustes de cintura,Reducción o ampliación de la cintura del short,30,80.0
short,Ajuste de costados,Ajuste en los laterales para mejorar el entalle,30,80.0
short,Ajustes de cintura con dobladillo,Ajuste de cintura y largo del short,45,145.0
short,Ajustes de cintura con costados,Ajuste combinado de cintura y laterales,60,145.0
short,Ajustes de cintura con costados y dobladillo,Ajuste integral de cintura laterales y largo,75,190.0
short,Cambio de bolsas,Reemplazo de los fondos de los bolsillos,60,135.0
short,Poner botón,Instalación de botón,5,10.0
short,Aumentar pretina talla,Ampliación de la pretina para aumentar una talla,45,145.0
short,Colocar cuchillas para aumento,Inserción de piezas de tela para ganar amplitud,60,160.0
short,Dobladillo a maquina,Ajuste de largo cosido a máquina,15,80.0
pantalón,Ajuste de cinturas con piernas y dobladillo,Ajuste a medida de cinturas con piernas y dobladillo para pantalón,60,190.0
pantalón,Ajustar por cierre,Servicio de ajustar por cierre para pantalón,45,175.0
pantalón,Dobladillo valenciana española ,Ajuste de largo con dobladillo valenciana española  para pantalón,30,90.0
pantalón,Dobladillo con falso,Ajuste de largo con dobladillo con falso para pantalón,45,
pantalón,Dobladillo montado,Ajuste de largo con dobladillo montado para pantalón,30,
pantalón,Cambio de cierre de nylon,Reemplazo de cremallera de nylon para pantalón,60,85.0
pantalón,Cambio de cierre invisible ,Reemplazo de cremallera invisible  para pantalón,45,90.0
pantalón,Cambio de cierre de lado a centro,Reemplazo de cremallera de lado a centro para pantalón,45,180.0
pantalón,Cambio de cierre de bolsa,Reemplazo de cremallera de bolsa para pantalón,45,
pantalón,Colocar cierre en bolsa,Instalación de cierre en bolsa para pantalón,45,
pantalón,Poner flaso en pretina,Instalación de flaso en pretina para pantalón,30,145.0
pantalón,Quitar flaso en pretina,Servicio de quitar flaso en pretina para pantalón,30,
pantalón,Quitar ajustador,Servicio de quitar ajustador para pantalón,30,
pantalón,Hacer pinzas,Servicio de hacer pinzas para pantalón,30,
pantalón,Pinzas con ajuste de piernas,Servicio de pinzas con ajuste de piernas para pantalón,45,200.0
pantalón,Pinzas con ajuste de costados y ajuste de cintura,Servicio de pinzas con ajuste de costados y ajuste de cintura para pantalón,60,280.0
pantalón,Quitar forro,Servicio de quitar forro para pantalón,60,
pantalón,Colocar botón de metal,Instalación de botón de metal para pantalón,10,20.0
pantalón,Colocar botón de plastico,Instalación de botón de plastico para pantalón,10,10.0
pantalón,Colocar broches ,Instalación de broches  para pantalón,10,
pantalón,Quitar resorte de dobladillo,Servicio de quitar resorte de dobladillo para pantalón,30,
pantalón,Quitar resorte de cintura,Servicio de quitar resorte de cintura para pantalón,30,
pantalón,Colocar resorte de cintura,Instalación de resorte de cintura para pantalón,30,
pantalón,Cambiar resorte de cintura,Servicio de cambiar resorte de cintura para pantalón,30,
pantalón,Cambiar resorte de dobladillo,Servicio de cambiar resorte de dobladillo para pantalón,30,
camisa,Ajuste de costados con dobladillo,Ajuste a medida de costados con dobladillo para camisa,45,75.0
camisa,Ajuste de costados con manga y subir puño,Ajuste a medida de costados con manga y subir puño para camisa,70,110.0
camisa,"Ajuste de costados con manga, dobladillo y puño","Ajuste a medida de costados con manga, dobladillo y puño para camisa",60,145.0
camisa,Ajuste de costados con mangas,Ajuste a medida de costados con mangas para camisa,55,100.0
camisa,Ajuste de hombro y subir puño,Ajuste a medida de hombro y subir puño para camisa,60,175.0
camisa,Ajuste de hombros,Ajuste a medida de hombros para camisa,45,270.0
camisa,Ajuste de magas,Ajuste a medida de magas para camisa,30,145.0
camisa,Ajuste de manga con puño,Ajuste a medida de manga con puño para camisa,55,195.0
camisa,Ajuste de puños,Ajuste a medida de puños para camisa,30,100.0
camisa,"Subir hombors, puños y faldilla","Modificación de altura/largo (subir hombors, puños y faldilla) para mejorar el entalle para camisa",45,190.0
camisa,"Subir hombros, puños, faldilla y ajuste de costados ","Modificación de altura/largo (subir hombros, puños, faldilla y ajuste de costados ) para mejorar el entalle para camisa",60,
camisa,Subir puños,Modificación de altura/largo (subir puños) para mejorar el entalle para camisa,30,145.0
camisa,Dobladillo de faldilla,Ajuste de largo con dobladillo de faldilla para camisa,30,85.0
camisa,Dobladillo de ruedo a mano,Ajuste de largo con dobladillo de ruedo a mano para camisa,30,100.0
camisa,Dobladillo de magas,Ajuste de largo con dobladillo de magas para camisa,30,75.0
camisa,Parchar con cuchilla,Servicio de parchar con cuchilla para camisa,45,40.0
camisa,Poner coderas,Instalación de coderas para camisa,30,120.0
camisa,Recoser roto,Reparación y refuerzo de costura en roto para camisa,15,60.0
camisa,Parchar con costura,Servicio de parchar con costura para camisa,45,35.0
camisa,Colocar broche de presión ,Instalación de broche de presión  para camisa,10,15.0
camisa,Quitar broche de presión,Servicio de quitar broche de presión para camisa,10,
camisa,Colocar broche de gancho,Instalación de broche de gancho para camisa,10,15.0
camisa,Quitar broche de gancho,Servicio de quitar broche de gancho para camisa,10,
camisa,Colocar botón,Instalación de botón para camisa,10,10.0
camisa,Quitar botón,Servicio de quitar botón para camisa,10,
camisa,Colocar ojal en el cuello,Instalación de ojal en el cuello para camisa,30,30.0
camisa,Quitar parches o escudos,Colocación de parche reparador en camisa,20,
camisa,Poner parches o escudos,Instalación de parches o escudos para camisa,20,15.0
camisa,Voltear cuello,Servicio de voltear cuello para camisa,30,50.0
camisa,Quitar cuello,Servicio de quitar cuello para camisa,30,
camisa,Recortar cuello,Servicio de recortar cuello para camisa,30,60.0
camisa,Aumentar cuello,Servicio de aumentar cuello para camisa,30,
camisa,Cuchillas con tela de cansú,Servicio de cuchillas con tela de cansú para camisa,45,175.0
camisa,Cuchillas con tela de la prenda,Servicio de cuchillas con tela de la prenda para camisa,45,110.0
camisa,Hacer cuchilas ,Servicio de hacer cuchilas  para camisa,30,180.0
camisa,Quitar cuchillas,Servicio de quitar cuchillas para camisa,30,
camisa,Recoser bolsas,Reparación y refuerzo de costura en bolsas para camisa,15,50.0
camisa,Poner bolsas nuevas,Instalación de bolsas nuevas para camisa,30,170.0
camisa,Quitar bolsas,Servicio de quitar bolsas para camisa,30,
camisa,Cortar ruedo,Servicio de cortar ruedo para camisa,30,
camisa,Cortar margas,Servicio de cortar margas para camisa,30,
camisa,Quitar gorra,Servicio de quitar gorra para camisa,30,120.0
camisa,Cambio de elastico de puños,Servicio de cambio de elastico de puños para camisa,30,
camisa,Quitar elastico de puños,Servicio de quitar elastico de puños para camisa,30,100.0
camisa,Cambio de velcro,Servicio de cambio de velcro para camisa,30,
camisa,Cambio de elastico de ruedo,Servicio de cambio de elastico de ruedo para camisa,30,130.0
camisa,Cambio de elastico de ruedo y puños,Servicio de cambio de elastico de ruedo y puños para camisa,45,190.0
playera/blusa,Ajuste de costados,Ajuste a medida de costados para playera/blusa,30,85.0
playera/blusa,Ajuste de magas,Ajuste a medida de magas para playera/blusa,30,75.0
playera/blusa,Ajuste de hombros,Ajuste a medida de hombros para playera/blusa,45,110.0
playera/blusa,Ajuste de manga con puño,Ajuste a medida de manga con puño para playera/blusa,55,100.0
playera/blusa,"Ajuste de costados con manga, dobladillo y puño","Ajuste a medida de costados con manga, dobladillo y puño para playera/blusa",60,190.0
playera/blusa,Ajuste de costados con dobladillo,Ajuste a medida de costados con dobladillo para playera/blusa,45,145.0
playera/blusa,Ajuste de hombro y subir puño,Ajuste a medida de hombro y subir puño para playera/blusa,60,195.0
playera/blusa,Ajustar puños,Servicio de ajustar puños para playera/blusa,30,100.0
playera/blusa,Subir hombros,Modificación de altura/largo (subir hombros) para mejorar el entalle para playera/blusa,45,100.0
playera/blusa,Subir hombros y puños,Modificación de altura/largo (subir hombros y puños) para mejorar el entalle para playera/blusa,60,170.0
playera/blusa,"Subir hombors, puños y faldilla","Modificación de altura/largo (subir hombors, puños y faldilla) para mejorar el entalle para playera/blusa",45,190.0
playera/blusa,Subir puños,Modificación de altura/largo (subir puños) para mejorar el entalle para playera/blusa,30,100.0
playera/blusa,Dobladillo de ruedo,Ajuste de largo con dobladillo de ruedo para playera/blusa,30,85.0
playera/blusa,Dobladillo de ruedo a mano,Ajuste de largo con dobladillo de ruedo a mano para playera/blusa,30,100.0
playera/blusa,Dobladillo de magas,Ajuste de largo con dobladillo de magas para playera/blusa,30,75.0
playera/blusa,Dobladillo a mano forrado,Ajuste de largo con dobladillo a mano forrado para playera/blusa,30,135.0
playera/blusa,Dobladillo a maquina forrado,Ajuste de largo con dobladillo a maquina forrado para playera/blusa,30,135.0
playera/blusa,Parchar con cuchilla,Servicio de parchar con cuchilla para playera/blusa,45,40.0
playera/blusa,Parchar con costura,Servicio de parchar con costura para playera/blusa,45,35.0
playera/blusa,Colocar broche de presión ,Instalación de broche de presión  para playera/blusa,10,15.0
playera/blusa,Colocar broche de gancho,Instalación de broche de gancho para playera/blusa,10,15.0
playera/blusa,Colocar botón,Instalación de botón para playera/blusa,10,10.0
playera/blusa,Colocar resorte,Instalación de resorte para playera/blusa,30,100.0
playera/blusa,Cambiar resorte,Servicio de cambiar resorte para playera/blusa,30,100.0
falda,Cambio de cierre de nylon,Reemplazo de cremallera de nylon para falda,60,85.0
falda,Cambio de cierre invisible,Reemplazo de cremallera invisible para falda,45,90.0
falda,Cuchillas en costados,Servicio de cuchillas en costados para falda,30,145.0
